ProvinceName,KabupatenName,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
KALIMANTAN TENGAH,BARITO SELATAN,DUSUN UTARA,2150,5801,7951
KALIMANTAN TENGAH,KAPUAS,TIMPAH,988,3298,4286
KALIMANTAN TENGAH,KAPUAS,PASAK TALAWANG,604,2399,3003
KALIMANTAN TENGAH,KAPUAS,PULAU PETAK,5036,3795,8831
KALIMANTAN TENGAH,KAPUAS,TAMBAN CATUR,3191,3654,6845
KALIMANTAN TENGAH,KAPUAS,KAPUAS TENGAH,1039,5480,6519
KALIMANTAN TENGAH,KAPUAS,BASARANG,4827,3812,8639
KALIMANTAN TENGAH,BARITO UTARA,TEWEH TIMUR,0,0,0
KALIMANTAN TENGAH,BARITO UTARA,MONTALLAT,0,0,0
KALIMANTAN TENGAH,KAPUAS,KAPUAS KUALA,4770,4539,9309
KALIMANTAN TENGAH,BARITO UTARA,LAHEI BARAT,0,0,0
KALIMANTAN TENGAH,BARITO SELATAN,JENAMAS,1969,2254,4223
KALIMANTAN TENGAH,KATINGAN,TASIK PAYAWAN,1403,2008,3411
KALIMANTAN TENGAH,KATINGAN,KAMIPANG,1133,1669,2802
KALIMANTAN TENGAH,BARITO SELATAN,DUSUN HILIR,3948,3551,7499
KALIMANTAN TENGAH,BARITO UTARA,TEWEH TENGAH,0,0,0
KALIMANTAN TENGAH,BARITO SELATAN,KARAU KUALA,2584,4846,7430
KALIMANTAN TENGAH,KATINGAN,KATINGAN HILIR,4907,8912,13819
KALIMANTAN TENGAH,KATINGAN,TEWANG SANGALANG GARING,1268,4607,5875
KALIMANTAN TENGAH,BARITO UTARA,GUNUNG PUREI,0,0,0
KALIMANTAN TENGAH,KATINGAN,SANAMAN MANTIKEI,1167,4357,5524
KALIMANTAN TENGAH,KATINGAN,KATINGAN HULU,1026,2974,4000
KALIMANTAN TENGAH,BARITO UTARA,LAHEI,0,0,0
KALIMANTAN TENGAH,BARITO UTARA,TEWEH BARU,0,0,0
KALIMANTAN TENGAH,BARITO UTARA,TEWEH SELATAN,0,0,0
KALIMANTAN TENGAH,SERUYAN,DANAU SELULUK,3470,7490,10960
KALIMANTAN TENGAH,KATINGAN,KATINGAN TENGAH,3673,8836,12509
KALIMANTAN TENGAH,KATINGAN,PETAK MALAI,269,1284,1553
KALIMANTAN TENGAH,SERUYAN,BATU AMPAR,1546,3407,4953
KALIMANTAN TENGAH,KATINGAN,MENDAWAI,1027,819,1846
KALIMANTAN TENGAH,SERUYAN,SERUYAN HULU,1837,3671,5508
KALIMANTAN TENGAH,KATINGAN,BUKIT RAYA,448,1984,2432
KALIMANTAN TENGAH,SERUYAN,SERUYAN TENGAH,3573,9003,12576
KALIMANTAN TENGAH,SERUYAN,SERUYAN RAYA,2125,7681,9806
KALIMANTAN TENGAH,SERUYAN,SERUYAN HILIR TIMUR,1874,1703,3577
KALIMANTAN TENGAH,KATINGAN,KATINGAN KUALA,4553,4998,9551
KALIMANTAN TENGAH,SUKAMARA,SUKAMARA,4254,6648,10902
KALIMANTAN TENGAH,KATINGAN,MARIKIT,571,2748,3319
KALIMANTAN TENGAH,KATINGAN,PULAU MALAN,1150,3049,4199
KALIMANTAN TENGAH,SUKAMARA,PANTAI LUNCI,1103,1295,2398
KALIMANTAN TENGAH,LAMANDAU,MENTHOBI RAYA,1565,3671,5236
KALIMANTAN TENGAH,SUKAMARA,BALAI RIAM,1218,2692,3910
KALIMANTAN TENGAH,SERUYAN,SERUYAN HILIR,6712,8441,15153
KALIMANTAN TENGAH,LAMANDAU,BULIK,4014,6705,10719
KALIMANTAN TENGAH,SERUYAN,SULING TAMBUN,626,821,1447
KALIMANTAN TENGAH,SERUYAN,DANAU SEMBULUH,1999,3765,5764
KALIMANTAN TENGAH,GUNUNG MAS,RUNGAN HULU,0,0,0
KALIMANTAN TENGAH,SERUYAN,HANAU,4827,5678,10505
KALIMANTAN TENGAH,LAMANDAU,BATANG KAWA,349,1060,1409
KALIMANTAN TENGAH,LAMANDAU,BELANTIKAN RAYA,979,1979,2958
KALIMANTAN TENGAH,LAMANDAU,LAMANDAU,950,2110,3060
KALIMANTAN TENGAH,LAMANDAU,SEMATU JAYA,1811,4149,5960
KALIMANTAN TENGAH,GUNUNG MAS,RUNGAN BARAT,0,0,0
KALIMANTAN TENGAH,GUNUNG MAS,KAHAYAN HULU UTARA,0,0,0
KALIMANTAN TENGAH,GUNUNG MAS,SEPANG SIMIN,0,0,0
KALIMANTAN TENGAH,SUKAMARA,JELAI,932,1224,2156
KALIMANTAN TENGAH,SUKAMARA,PERMATA KECUBUNG,928,2340,3268
KALIMANTAN TENGAH,GUNUNG MAS,TEWAH,0,0,0
KALIMANTAN TENGAH,GUNUNG MAS,MIRI MANASA,0,0,0
KALIMANTAN TENGAH,GUNUNG MAS,KURUN,0,0,0
KALIMANTAN TENGAH,PULANG PISAU,KAHAYAN TENGAH,685,3638,4323
KALIMANTAN TENGAH,LAMANDAU,BULIK TIMUR,1279,2250,3529
KALIMANTAN TENGAH,GUNUNG MAS,MANUHING,0,0,0
KALIMANTAN TENGAH,PULANG PISAU,SEBANGAU KUALA,935,1758,2693
KALIMANTAN TENGAH,GUNUNG MAS,MAHUNING RAYA,0,0,0
KALIMANTAN TENGAH,LAMANDAU,DELANG,792,1965,2757
KALIMANTAN TENGAH,PULANG PISAU,MALIKU,5122,6908,12030
KALIMANTAN TENGAH,GUNUNG MAS,DAMANG BATU,0,0,0
KALIMANTAN TENGAH,MURUNG RAYA,PERMATA INTAN,2203,2582,4785
KALIMANTAN TENGAH,GUNUNG MAS,RUNGAN,0,0,0
KALIMANTAN TENGAH,PULANG PISAU,KAHAYAN KUALA,4174,3666,7840
KALIMANTAN TENGAH,GUNUNG MAS,MIHING RAYA,0,0,0
KALIMANTAN TENGAH,MURUNG RAYA,TANAH SIANG,1011,4467,5478
KALIMANTAN TENGAH,MURUNG RAYA,BARITO TUHUP RAYA,759,1580,2339
KALIMANTAN TENGAH,PULANG PISAU,PANDIH BATU,4552,6173,10725
KALIMANTAN TENGAH,BARITO TIMUR,DUSUN TIMUR,4528,8618,13146
KALIMANTAN TENGAH,MURUNG RAYA,SUNGAI BABUAT,218,1051,1269
KALIMANTAN TENGAH,MURUNG RAYA,LAUNG TUHUP,4228,3999,8227
KALIMANTAN TENGAH,MURUNG RAYA,TANAH SIANG SELATAN,457,1732,2189
KALIMANTAN TENGAH,BARITO TIMUR,PEMATANG KARAU,3344,2984,6328
KALIMANTAN TENGAH,BARITO TIMUR,DUSUN TENGAH,5297,6576,11873
KALIMANTAN TENGAH,BARITO TIMUR,PAKU,910,3416,4326
KALIMANTAN TENGAH,PULANG PISAU,BANAMA TINGANG,626,4299,4925
KALIMANTAN TENGAH,PULANG PISAU,JABIREN,1401,2850,4251
KALIMANTAN TENGAH,PULANG PISAU,KAHAYAN HILIR,5700,7699,13399
KALIMANTAN TENGAH,MURUNG RAYA,SERIBU RIAM,304,1233,1537
KALIMANTAN TENGAH,BARITO TIMUR,PAJU EPAT,996,1798,2794
KALIMANTAN TENGAH,MURUNG RAYA,SUMBER BARITO,773,2111,2884
KALIMANTAN TENGAH,KOTA PALANGKARAYA,JEKAN RAYA,26344,35339,61683
KALIMANTAN SELATAN,TANAH LAUT,BAJUIN,4386,4436,8822
KALIMANTAN TENGAH,MURUNG RAYA,MURUNG,10398,5786,16184
KALIMANTAN TENGAH,BARITO TIMUR,RAREN BATUAH,1395,2927,4322
KALIMANTAN TENGAH,KOTA PALANGKARAYA,BUKIT BATU,2195,4143,6338
KALIMANTAN SELATAN,TANAH LAUT,BATU AMPAR,6238,6690,12928
KALIMANTAN TENGAH,BARITO TIMUR,KARUSEN JANANG,703,1750,2453
KALIMANTAN TENGAH,MURUNG RAYA,UUT MURUNG,381,927,1308
KALIMANTAN SELATAN,TANAH LAUT,KURAU,2688,3466,6154
KALIMANTAN TENGAH,KOTA PALANGKARAYA,RAKUMPIT,464,1168,1632
KALIMANTAN TENGAH,BARITO TIMUR,PATANGKEP TUTUI,880,2839,3719
KALIMANTAN SELATAN,KOTABARU,PULAUSEMBILAN,0,0,0
KALIMANTAN TENGAH,KOTA PALANGKARAYA,SABANGAU,4008,4054,8062
KALIMANTAN SELATAN,TANAH LAUT,JORONG,5597,7989,13586
KALIMANTAN SELATAN,KOTABARU,PAMUKAN UTARA,0,0,0
KALIMANTAN TENGAH,KOTA PALANGKARAYA,PAHANDUT,21676,19147,40823
KALIMANTAN SELATAN,KOTABARU,HAMPANG,0,0,0
KALIMANTAN SELATAN,TANAH LAUT,TAKISUNG,7242,7522,14764
KALIMANTAN TENGAH,BARITO TIMUR,BANUA LIMA,1144,2278,3422
KALIMANTAN SELATAN,TANAH LAUT,TAMBANG ULANG,4021,4163,8184
KALIMANTAN SELATAN,TANAH LAUT,KINTAP,6495,12524,19019
KALIMANTAN SELATAN,KOTABARU,KELUMPANG HILIR,0,0,0
KALIMANTAN SELATAN,KOTABARU,PAMUKAN BARAT,0,0,0
KALIMANTAN TENGAH,BARITO TIMUR,AWANG,710,2866,3576
KALIMANTAN SELATAN,KOTABARU,SUNGAIDURIAN,0,0,0
KALIMANTAN SELATAN,TANAH LAUT,PELAIHARI,19918,15205,35123
KALIMANTAN SELATAN,KOTABARU,PULAULAUT KEPULAUAN,0,0,0
KALIMANTAN SELATAN,KOTABARU,KELUMPANG BARAT,0,0,0
KALIMANTAN SELATAN,KOTABARU,PULAUSEBUKU,0,0,0
KALIMANTAN SELATAN,KOTABARU,PAMUKAN SELATAN,0,0,0
KALIMANTAN SELATAN,KOTABARU,PULAULAUT TENGAH,0,0,0
KALIMANTAN SELATAN,TANAH LAUT,BUMI MAKMUR,2293,3295,5588
KALIMANTAN SELATAN,TANAH LAUT,PANYIPATAN,4213,6476,10689
KALIMANTAN SELATAN,KOTABARU,KELUMPANG SELATAN,0,0,0
KALIMANTAN SELATAN,KOTABARU,PULAULAUT TIMUR,0,0,0
KALIMANTAN SELATAN,TANAH LAUT,BATI BATI,9004,10126,19130
KALIMANTAN SELATAN,KOTABARU,PULAULAUT SELATAN,0,0,0
KALIMANTAN SELATAN,KOTABARU,PULAULAUT UTARA,0,0,0
KALIMANTAN SELATAN,KOTABARU,KELUMPANG HULU,0,0,0
KALIMANTAN SELATAN,BANJAR,SUNGAI PINANG,0,0,0
KALIMANTAN SELATAN,BANJAR,MARTAPURA BARAT,0,0,0
KALIMANTAN SELATAN,BANJAR,BERUNTUNG BARU,0,0,0
KALIMANTAN SELATAN,BANJAR,ALUH ALUH,0,0,0
KALIMANTAN SELATAN,BANJAR,TELAGA BAUNTUNG,0,0,0
KALIMANTAN SELATAN,KOTABARU,PULAULAUT BARAT,0,0,0
KALIMANTAN SELATAN,BANJAR,PENGAROM,0,0,0
KALIMANTAN SELATAN,KOTABARU,SAMPANAHAN,0,0,0
KALIMANTAN SELATAN,KOTABARU,KELUMPANG UTARA,0,0,0
KALIMANTAN SELATAN,BANJAR,SIMPANG EMPAT,0,0,0
KALIMANTAN SELATAN,KOTABARU,KELUMPANG TENGAH,0,0,0
KALIMANTAN SELATAN,BANJAR,ASTAMBUL,0,0,0
KALIMANTAN SELATAN,BARITO KUALA,TABUNGANEN,3875,5014,8889
KALIMANTAN SELATAN,BANJAR,SAMBUNG MAKMUR,0,0,0
KALIMANTAN SELATAN,BANJAR,MATARAMAN,0,0,0
KALIMANTAN SELATAN,BANJAR,KERTAK HANYAR,0,0,0
KALIMANTAN SELATAN,BANJAR,ARANIO,0,0,0
