ProvinceName,KabupatenName,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
NUSA TENGGARA BARAT,BIMA,PARADO,3459,1210,4669
NUSA TENGGARA BARAT,BIMA,LAMBITU,1899,897,2796
NUSA TENGGARA BARAT,DOMPU,MANGGELEWA,10634,4799,15433
NUSA TENGGARA BARAT,BIMA,LANGGUDU,9581,4432,14013
NUSA TENGGARA BARAT,BIMA,WERA,10583,3909,14492
NUSA TENGGARA BARAT,BIMA,BELO,9428,3198,12626
NUSA TENGGARA BARAT,BIMA,TAMBORA,2977,898,3875
NUSA TENGGARA BARAT,BIMA,SOROMANDI,6099,2925,9024
NUSA TENGGARA BARAT,BIMA,MADAPANGGA,11572,4056,15628
NUSA TENGGARA BARAT,BIMA,BOLO,18939,6451,25390
NUSA TENGGARA BARAT,BIMA,AMBALAWI,7547,2223,9770
NUSA TENGGARA BARAT,LOMBOK UTARA,GANGGA,19140,6418,25558
NUSA TENGGARA BARAT,BIMA,SANGGAR,4389,1890,6279
NUSA TENGGARA BARAT,BIMA,SAPE,18741,8296,27037
NUSA TENGGARA BARAT,SUMBAWA BARAT,SEKONGKANG,2490,1626,4116
NUSA TENGGARA BARAT,LOMBOK UTARA,TANJUNG,16376,10895,27271
NUSA TENGGARA BARAT,SUMBAWA BARAT,BRANG ENE,2316,902,3218
