date	@prabowo08	@jokowi_do2
2014071709	47.7229	52.2771
2014071721	47.6641	52.3360
2014071722	47.6163	52.3837
2014071723	47.6107	52.3893
2014071800	47.5990	52.4010
2014071801	47.6147	52.3854
2014071802	47.6276	52.3724
2014071803	47.7698	52.2302
2014071804	47.7790	52.2210
2014071805	47.7808	52.2192
2014071806	47.7808	52.2192
2014071807	47.7970	52.2030
2014071808	47.8070	52.1930
2014071810	47.7990	52.2010
2014071812	47.7595	52.2405
2014071814	47.7595	52.2405
2014071816	47.6987	52.3013
2014071818	47.7349	52.2651
2014071820	47.7868	52.2132
2014071822	47.7962	52.2038
2014071900	47.8147	52.1853
2014071902	47.8147	52.1853
2014071904	47.7782	52.2218
2014071906	47.7808	52.2192
2014071908	47.9133	52.0868
2014071910	47.9133	52.0868
2014071912	47.9133	52.0868
2014071914	47.9236	52.0765
2014071916	47.9236	52.0765
2014071918	47.9188	52.0812
2014071920	47.8969	52.1031
2014071922	47.8478	52.1522
2014072000	47.6709	52.3291
2014072002	47.6152	52.3849
2014072004	47.5717	52.4283
2014072006	47.5567	52.4433
2014072008	47.3617	52.6383
2014072010	47.3681	52.6319
2014072012	47.3644	52.6356
2014072014	47.3596	52.6404
2014072016	47.3506	52.6494
2014072018	47.3074	52.6926
2014072020	47.2894	52.7106
2014072022	47.0739	52.9261
2014072100	47.0767	52.9233
2014072102	46.9778	53.0222
2014072104	46.9778	53.0222
2014072106	46.9691	53.0309
2014072107	46.9691	53.0309
2014072108	46.9880	53.0120
2014072110	46.9657	53.0343
2014072112	46.9657	53.0343
2014072116	46.9657	53.0343
2014072118	46.9657	53.0343
2014072120	46.9524	53.0477
