#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
26141,JAWA BARAT,28182,TASIKMALAYA,28288,BOJONGGAMBIR,14580,5705,20285
26141,JAWA BARAT,28573,CIAMIS,28574,CIAMIS,37756,19860,57616
26141,JAWA BARAT,28182,TASIKMALAYA,28250,CIBALONG,12418,6320,18738
26141,JAWA BARAT,28182,TASIKMALAYA,28282,CULAMEGA,9884,2500,12384
26141,JAWA BARAT,28573,CIAMIS,28838,PARIGI,11667,16578,28245
26141,JAWA BARAT,28573,CIAMIS,28849,CIJULANG,9149,8403,17552
26141,JAWA BARAT,28182,TASIKMALAYA,28361,SALOPA,15122,7686,22808
26141,JAWA BARAT,28573,CIAMIS,28782,PAMARICAN,17606,20395,38001
26141,JAWA BARAT,28573,CIAMIS,28944,PURWADADI,9277,11038,20315
26141,JAWA BARAT,28573,CIAMIS,28897,CISAGA,11348,11562,22910
26141,JAWA BARAT,28573,CIAMIS,28618,CIDOLOG,6259,4978,11237
26141,JAWA BARAT,28573,CIAMIS,28811,KALIPUCANG,9417,11748,21165
26141,JAWA BARAT,28573,CIAMIS,28929,SUKAMANTRI,5969,4905,10874
26141,JAWA BARAT,28573,CIAMIS,28857,CIMERAK,13281,13636,26917
26141,JAWA BARAT,28573,CIAMIS,28688,CIPAKU,20747,13552,34299
26141,JAWA BARAT,28573,CIAMIS,28587,CIKONENG,18785,11320,30105
26141,JAWA BARAT,28573,CIAMIS,28625,CIHAURBEUTI,18575,7821,26396
26141,JAWA BARAT,28573,CIAMIS,28637,PANUMBANGAN,17570,13589,31159
26141,JAWA BARAT,28573,CIAMIS,28673,PANAWANGAN,13025,15081,28106
26141,JAWA BARAT,28573,CIAMIS,28609,SADANANYA,12168,8641,20809
26141,JAWA BARAT,28573,CIAMIS,28760,BANJARSARI,29787,29626,59413
26141,JAWA BARAT,28573,CIAMIS,28877,LANGKAPLANCAR,13348,14281,27629
26141,JAWA BARAT,28573,CIAMIS,28891,CIMARAGAS,4629,4943,9572
26141,JAWA BARAT,28573,CIAMIS,28935,LUMBUNG,11570,4842,16412
